Type,Sub-Type,Description,Shift,Unit,Input,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,Total
Dispatched,CRU-DIS,"Aggregate 3/4""",D&N,Ton,0,402.14,257.08,103.84,25.00,395.54,868.44,403.09,1134.91,987.40,777.04,376.10,1153.02,1311.84,,,,,,,,,,,,,,,,,,,"8,195.4"
Dispatched,CRU-DIS,"Aggregate 1/2""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,34.68,,,,,,,,,,,,,,,,,,,74.7
Dispatched,CRU-DIS,"Aggregate 3/8""",D&N,Ton,0,787.44,1176.27,223.34,36.78,428.71,504.62,480.35,531.90,714.14,582.94,381.81,589.96,401.30,,,,,,,,,,,,,,,,,,,"6,839.6"
Dispatched,CRU-DIS,"Zero 3/16""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,0.0
Dispatched,CRU-DIS,Micro 1/16,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,0.0
Dispatched,CRU-DIS,Powder,D&N,Ton,0,312.70,210.38,154.92,0.00,208.90,105.20,52.00,308.63,300.75,151.95,0.00,436.88,258.70,,,,,,,,,,,,,,,,,,,"2,501.0"
Dispatched,CRU-DIS,Oversize,D&N,Ton,0,603.70,402.36,241.70,449.72,156.36,609.82,576.26,221.88,289.98,0.00,0.00,303.92,30.58,,,,,,,,,,,,,,,,,,,"3,886.3"
Dispatched,CRU-DIS,0-5mm,D&N,Ton,0,461.68,386.76,107.30,0.00,460.32,198.22,469.09,359.48,235.14,227.65,0.00,595.97,641.03,,,,,,,,,,,,,,,,,,,"4,142.6"
Dispatched,CRU-DIS,"2""",D&N,Ton,0,0.00,0.00,49.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,49.4
Dispatched,CRU-DIS,"1.5""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,0.0
Dispatched,CRU-DIS,"1""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,0.0
Dispatched,CRU-DIS,Sub-grade,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,0.0
Dispatched,CRU-DIS,Subbase,D&N,Ton,0,27.67,153.70,0.00,0.00,80.43,91.02,425.29,484.98,850.80,617.46,255.36,763.92,829.91,,,,,,,,,,,,,,,,,,,"4,580.5"
Dispatched,CRU-DIS,Sand ,D&N,Ton,0,1017.26,486.17,254.00,91.91,577.55,350.03,56.46,171.21,174.42,68.05,45.50,419.06,789.65,,,,,,,,,,,,,,,,,,,"4,501.3"
Dispatched,CRU-DIS,A1A,D&N,Ton,0,0.00,0.00,0.00,0.00,24.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,24.4
Dispatched,CRU-DIS,Feed,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,0.0
Equipment,Static Crusher No-1,Static Crusher ,D&N,Hrs.,0,8,8,8,0,6,7,9,12,9,10,0,8,8,10,9,,,,,,,,,,,,,,,,,112
Equipment,Static Crusher No-2,Static Crusher ,D&N,Hrs.,0,8,8,8,0,7,6,7,4,8,9,0,7,7,11,8,,,,,,,,,,,,,,,,,98
Equipment,Mobile Screen 7707 ,Mobile Crusher,D&N,Hrs.,0,6,7,7,0,6,6,6,7,7,7,0,6,6,9,4,,,,,,,,,,,,,,,,,84
Equipment,Excavator,CAT ,D&N,Hrs.,0,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,,,,,,,,,,,,,,,,,260
Equipment,Front_loader,shavol,D&N,Hrs.,0,40,30,40,0,40,40,40,40,40,40,0,40,40,40,40,,,,,,,,,,,,,,,,,510
Equipment,Bulldozer,Bulldozer,D&N,Hrs.,0,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,,,,,,,,,,,,,,,,,130
Equipment,Dumper,Dumper,D&N,Hrs.,0,40,40,40,0,40,40,40,40,40,40,0,40,40,40,30,,,,,,,,,,,,,,,,,510
Equipment,Grader,Grader,D&N,Hrs.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0
Equipment,Winch,Mechanical Device,D&N,Hrs.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0
Manpower,Equipment Driver,Equipment Driver,D&N,Number,0,10,12,12,0,12,12,12,12,12,12,0,12,12,12,12,,,,,,,,,,,,,,,,,154
Manpower,CRU-OP,Crusher Operator,D&N,Number,0,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,,,,,,,,,,,,,,,,,26
Manpower,Maintenance,Worker,D&N,Number,0,12,12,12,0,12,12,12,12,12,12,0,12,12,12,12,,,,,,,,,,,,,,,,,156
Manpower,Sales,Sales Representative,D&N,Number,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,8
Manpower,other,other,D&N,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.00
Operation,SEG-OP,Accepted Trucks,D&N,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,11.00
Operation,SEG-OP,Accepted Trucks,D&N,Ton,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.82,,,,,,,,,,,,,,,,,270.82
Production,CRU-PRO,Aggregate 3/4,D&N,Ton,0,560.00,560.00,560.00,0.00,420.00,490.00,630.00,840.00,630.00,700.00,0.00,560.00,560.00,700.00,630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,840.00"
Production,CRU-PRO,"Aggregate 1/2""",D&N,Ton,0,200.00,200.00,200.00,0.00,150.00,175.00,225.00,300.00,225.00,250.00,0.00,200.00,200.00,250.00,225.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,800.00"
Production,CRU-PRO,Aggregate 3/8,D&N,Ton,0,560.00,560.00,560.00,0.00,420.00,490.00,630.00,840.00,630.00,700.00,0.00,560.00,560.00,700.00,630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,840.00"
Production,CRU-PRO,Zero 3/16,D&N,Ton,0,40.00,40.00,40.00,0.00,30.00,35.00,45.00,60.00,45.00,50.00,0.00,40.00,40.00,50.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00
Production,CRU-PRO,Micro 1/16,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Production,CRU-PRO,Powder,D&N,Ton,0,320.00,320.00,320.00,0.00,240.00,280.00,360.00,480.00,270.00,300.00,0.00,240.00,240.00,300.00,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,940.00"
Production,CRU-PRO,Oversize,D&N,Ton,0,400.00,400.00,400.00,0.00,350.00,300.00,350.00,200.00,400.00,450.00,0.00,350.00,350.00,550.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,900.00"
Production,CRU-PRO,0-5mm,D&N,Ton,0,320.00,320.00,320.00,0.00,240.00,280.00,360.00,480.00,450.00,500.00,0.00,400.00,400.00,500.00,450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,020.00"
Production,CRU-PRO,"2""",D&N,Ton,0,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,200.00
Production,CRU-PRO,"1.5""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,"1""",D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Sub-grade,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Subbase,D&N,Ton,0,800.00,800.00,800.00,0.00,700.00,600.00,700.00,400.00,800.00,900.00,0.00,700.00,700.00,1100.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,800.00"
Production,CRU-PRO,sand,D&N,Ton,0,810.00,945.00,945.00,0.00,810.00,810.00,810.00,945.00,945.00,945.00,0.00,810.00,810.00,1215.00,540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,340.00"
Production,CRU-PRO,A1A,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Feed,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,CDW Processed Materials,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,CDW  Materials,D&N,Ton,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00
Production,CRU-PRO,Pure Materials,D&N,Ton,0,4010.00,4145.00,4145.00,100.00,3360.00,3460.00,4110.00,4545.00,4395.00,4795.00,0.00,3960.00,3860.00,5365.00,3990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"54,240.00"
Production,CRU-PRO,Mixing Ratio,D&N,%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00
Production,CRU-PRO,CDW & Pure  Materials,D&N,Ton,0,"4,010","4,145","4,145",100,"3,360","3,460","4,110","4,545","4,395","4,795",0,"3,960","3,860","5,365","3,990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54,240.00"
Total Daily,,,,,0,"15,800","15,658","13,729",903,"12,567","13,262","14,951","17,007","16,898","17,013","1,059","16,301","16,036","16,262","12,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!
